message,is_useful,source_file,source_line
or a min-backoff? or something?,0,CS-corpus.txt,43
"The docs state >Note that for very large time intervals (greater than 270 years on most platforms) this method will lose microsecond accuracy.  So, just be aware.",0,CS-corpus.txt,44
could be  ```python bad_attributes = [attr for attr in data.iterkeys() if attr not in self.ATTRIBUTES] ```,0,CS-corpus.txt,45
or `set(data.iterkeys()) - set(self.ATTRIBUTES)`  C-OK,0,CS-corpus.txt,46
snake case preferred.,1,CS-corpus.txt,47
"Are we going to refactor this method once the map reduce to pull in permissions is run, rather than having a multi-purpose function.",1,CS-corpus.txt,48
Can you add the suggested path to get this data instead? eg: The Permission data is available on the getService endpoint.,1,CS-corpus.txt,49
Is there any concern that a user will auth their account after exponential backoff has ramped up. Resulting in not updating the reach quickly after authenticating?,0,CS-corpus.txt,50
This test will past regardless of the value of the status code we put here,0,CS-corpus.txt,51
this comma is weird,1,CS-corpus.txt,52
"Stick an ""and"" in this message: `{0} for {1} gave {2} response, and returned no results.`...",1,CS-corpus.txt,53
SDK should not be in this PR  Try not to generate the SDK until new endpoints are on master.,0,CS-corpus.txt,54
"I'll disagree here. You need to functionally test your endpoint both as a rest call, and through the sdk. You shouldn't release your sdk to VPM until the endpoints are on prod (which is what I think Brad is really getting at), but there is no reason to avoid generating it, testing with it, and getting it PR'd beforehand.",0,CS-corpus.txt,55
@ckurz-va Generating it and merging it into develop will cause merge conflicts for anyone who is simultaneously adding new endpoints to be added to the SDK when they are based off master.  Not the end of the world but something I like to avoid.,0,CS-corpus.txt,56
"It's a very simple process to manage that conflict, (Pull master into branch, regen sdk, confirm your expected changes are still there) and exposes maybe people need to chat to make sure version numbers are incrementing correctly.  I personally like merge conflicts when people are working in the same space so conversations happen. As long as the merge conflict isn't spawning a TON of new work. Plus with a PR out, people who are watching the repo, which should include people currently working in the repo, will notice another team adding an endpoint, and can start the conversation on collaborating the vpm release and such before things get to master.",0,CS-corpus.txt,57
why not `self.get_facebook_profile_permissions`? There might be a reason to do this that I'm unaware of.,1,CS-corpus.txt,58
"capital ""O""?",1,CS-corpus.txt,59
This logic doesn't look to me like it gives you any information about a Facebook Page.,1,CS-corpus.txt,60
is this the only place we're getting permissions and storing them? Like even on newly created FB Users we're not saving permissions?,0,CS-corpus.txt,61
Also isn't there a `FacebookUserService.fetchSocialPermissions` method?,0,CS-corpus.txt,62
We should probably just rename it to GetSocialProfileUserPermissions then.,1,CS-corpus.txt,63
No reason.  We can use `self`.,1,CS-corpus.txt,64
This could probably be bumped up one line to be with the other properties,1,CS-corpus.txt,65
I noticed pretty much every method here accepts `callback` and `callbackArgs` and passes them to the pipeline. Is there any reason you are not doing this?,1,CS-corpus.txt,66
If we are just storing these in CS is there any reason to use `vobject` and `vdatastore`? Why not just use `ndb.Model`?,0,CS-corpus.txt,67
If you are just returning the class name I don't think it is necessary to implement this method.,0,CS-corpus.txt,68
"I don't know what ""status"" is. Maybe indicate that you are updating the `is_synced` property if that's what the method is doing.",1,CS-corpus.txt,69
You can just: ```python uberall_location[API_KEYS.LISTINGS] = directory ``` Unless you are actually updating multiple key/value pairs it doesn't make sense to call `update`.,1,CS-corpus.txt,70
"Why not just make this is a JsonProperty if that is what we are storing? Also are we using this for anything or storing it ""just to have""?",0,CS-corpus.txt,71
"Can you make it clear for each of these models what their purpose is? Why do we have two different models, what kind of information are they storing or keeping track of. This doesn't really provide me enough information.",1,CS-corpus.txt,72
Can you include a one line comment or something or each of these `if` conditions. It's not clear what you are doing or why in each of these blocks.,1,CS-corpus.txt,73
I believe you are missing a test for the case when a `sync_details_key` is not specified.,1,CS-corpus.txt,74
If you aren't doing anything in `setUp` you don't need to include it.,1,CS-corpus.txt,75
I didn't think you could have both required and have a default value for ndb.  Does vdatastore fix that?,1,CS-corpus.txt,76
"Is  ``` is_synced: False sync_details_key_id = ""some key id"" ``` A valid state? Or does the presence of a `sync_details_key_id` indicate that it is synced?",1,CS-corpus.txt,77
"So then sync_details_key_id is always pointing at a `UberallSyncDetailsModel`? Any reason not to make it a structured property? Also, why would it change at this point?",1,CS-corpus.txt,78
"Why is this method here? Also it doesn't build a key, just the (string) key name.",1,CS-corpus.txt,79
why the key change?,0,CS-corpus.txt,80
what's the `/` for in this string?  It's not a typo?,0,CS-corpus.txt,81
I'm 10000% unclear how this solves the auth problem you described.,1,CS-corpus.txt,82
"Right! Makes much sense.  Maybe we could make it `content_dict = json.loads(response.content)`. But ya, :shipit:",1,CS-corpus.txt,83
Extra indent!,1,CS-corpus.txt,84
So we have 3 different apis we have to use to interact with Infogroup? Ugh.,0,CS-corpus.txt,85
?,0,CS-corpus.txt,86
Sometimes you have to be extra sure,0,CS-corpus.txt,87
I assume this number is from...411 themselves somewhere?,1,CS-corpus.txt,88
"I don't think we need this, do we?",0,CS-corpus.txt,89
Normally no but this Url Spider is doing batching like the Listing Spiders so we needed to include it here as well.,0,CS-corpus.txt,90
"Ah okay, I wasn't sure if this was because of the batching or just an accident. Sounds good!",0,CS-corpus.txt,91
using the word 'reach' here is a little confusing,1,CS-corpus.txt,92
"I'd like to improve this doc string, or improve the comments in this function. I can see people taking a long time to figure this function out.",1,CS-corpus.txt,93
"You mean `Unescapable, assuming due to '\' in review.` right?",0,CS-corpus.txt,94
you want to check if its expired or not if it is demo.,1,CS-corpus.txt,95
why caplocks in the middle?,0,CS-corpus.txt,96
Should this go with the global_sources_dict spreadsheet?,0,CS-corpus.txt,97
Why are we filtering listings that belong to the account_group and to the partner? Shouldn't the account_group_id be sufficient?,0,CS-corpus.txt,98
Visibililty seems incorrect for directory name. I assume you meant visibility?,1,CS-corpus.txt,99
why are we shortening the import? Makes it more confusing in code later.,0,CS-corpus.txt,100
"Do we want to protect from a large number of input docs? I can't remember the max number of entities that can be in a put_multi, but 1-1 with the input doc list could cause errors if a crazy amount of docs are pushed in.",0,CS-corpus.txt,101
"So this is only globally disabled sources? If the account group or partner has disabled a source, we do not remove the score for that source from the listing point score. Is that the intended behaviour?",1,CS-corpus.txt,102
"why the is_demo check? Wouldn't we want to avoid doing this work for all expired account, demo or not?",1,CS-corpus.txt,103
"Especially scared, since Core never deletes account groups, it just expires them.",1,CS-corpus.txt,104
It is not the case =) I would like to see that change.,1,CS-corpus.txt,105
expiry is only ever set for demo accounts.,1,CS-corpus.txt,106
@tbathgate-va likely remembers better. I believe an account group has a method that helps this. getCalculatedIgnoredSource?,1,CS-corpus.txt,107
"You are thinking about expiry on the account group, this is the expiry on the account. So we should be checking for both.",1,CS-corpus.txt,108
"This aggregation gives me an error when trying to run in vconsole  ``` import elastic from elastic.documents.listing import ListingDocument  agg = elastic.AggregationBuilder.max(     ListingDocument.score ) ``` ``` ValueError: ('no idea how to unwrap the given propery_ %s', ```",1,CS-corpus.txt,109
"That could be. I seem to recall when getting a deleted message from VBC, we expired all accounts on the account group, not just the account group expiry.",1,CS-corpus.txt,110
You probably want to do `account_group doWork(WORK.LISTING)`,1,CS-corpus.txt,111
"That would be a good choice. doWork for WORK.LISTING also allows a sourceId arg, which will handle enabled and disabled sources as well.",1,CS-corpus.txt,112
Where does this value of 290 come from? Some explanation should be here in the code.,0,CS-corpus.txt,113
The origin of it is some formula like: Phone number = 50 marks Company Name = 50 marks address = 30 city = 10 state = 10 ...  Or something like that.,0,CS-corpus.txt,114
I think you're going to need these scores to factor HyperLocalListings into the equation,0,CS-corpus.txt,115
at architecture they said there was a bug in this. @jrans-va or @bbassingthwaite-va would know details,1,CS-corpus.txt,116
"Basically if there is an error at any point in your mapper, the documents that had been assigned to that shard will be skipped over on the retry...",1,CS-corpus.txt,117
"Sooooo nitpicky: can you pluralize ""account group"" in the docstring?",0,CS-corpus.txt,118
"In the next iteration this case would actually contribute to the ""Citation"" portion of the score, right?",1,CS-corpus.txt,119
"I'm pretty sure it enforces some magic (or at least it used to) while converting to and from ""domain objects"" (ie `Listing` vs `ListingModel`).",0,CS-corpus.txt,120
What's this for?,0,CS-corpus.txt,121
The code to find the company name is duplicated now. Probably worth it to break it out and reuse it in `_scrape` just for maintenance.,1,CS-corpus.txt,122
I concur.,1,CS-corpus.txt,123
is this  ... testing a thing? Please clarify. ;),1,CS-corpus.txt,124
can haz test pl0x?,1,CS-corpus.txt,125
?,0,CS-corpus.txt,126
dunno what the superclass does but you probably want to specify `ALLOWED_METHODS = frozenset(['POST'])`,1,CS-corpus.txt,127
Update the tags?,1,CS-corpus.txt,128
"aw, you should use the ""new"" property syntax instead of these arg lists...  ``` account_group_id = vapi.StringProperty(required=True) social_post_id = vapi.StringProperty(required=True) ```  Then you can access them like `self.account_group_id` in the process method.",1,CS-corpus.txt,129
unit tests for this method,1,CS-corpus.txt,130
typo,1,CS-corpus.txt,131
probably want to unit test these cases with entities where `socialPost.isError` is a factor,0,CS-corpus.txt,132
"last time I was here I remember getting shot at for missing styles.  Might be easy to make this whole function snake_case? Or simpler, just make `source_list` camelCase",1,CS-corpus.txt,133
"Just remove this line. There's a specific test case to un-comment, when Zomato starts supporting websites again.",1,CS-corpus.txt,134
"Super trivial, but if you add a comma to the end of this dict, github wont show it as a line removed and added the next time someone changes the dict (like shareCount did here)",1,CS-corpus.txt,135
Do we need to fetch the the reactions for post twice. Question mark. Perhaps we could be a little smarter and only do the call once. unless there is something I am missing with requiring the number reactions to get the actual reactions?,1,CS-corpus.txt,136
Extra space,1,CS-corpus.txt,137
Should we also be supporting `YAY`? ![yay](https://github.com/vendasta/SM/blob/develop/src/static/images/reaction-icons/yay.png),0,CS-corpus.txt,138
Nevermind http://heavy.com/tech/2016/02/yay-facebook-reactions-missing-where-why-dislike-confused-rejected-photos/,0,CS-corpus.txt,139
what does this variable actually do? Is this the maximum number of reactions we will fetch?,1,CS-corpus.txt,140
Very minor but it is a little unclear,1,CS-corpus.txt,141
It may be a good idea to exc_info=True to logging.error,1,CS-corpus.txt,142
regarding the above comment: these definitely originated from the Urbanspoon migration,0,CS-corpus.txt,143
When we add post.reactions will this need to be updated?,1,CS-corpus.txt,144
Why is `data.get('country')` passed in twice?,0,CS-corpus.txt,145
Isn't `directory_data` the data we are getting from uberall? But we are converting the country code?,1,CS-corpus.txt,146
typo `is_combined_po_box_indicator_with_number`,1,CS-corpus.txt,147
do you need this `else: pass` ? preferable to just let the iteration do its thing and drop the else case if you can,1,CS-corpus.txt,148
"i like these comments and hope people keep them up to date. people will scoff at overcommenting, but i think these are super valuable ones because of the specificity of these low level operations. :+1:",1,CS-corpus.txt,149
"kind of boggles my mind that this test class is a child of `GaeTestCase`. I understand the word `integration` is in the class name, and if this is testing anything valuable and appengine related, maybe we keep a few, but all the cases in this class seem like perfect candidates for pure unit testing?",0,CS-corpus.txt,150
"you want your class name to be leading capital camel case, java-style. also again with the `GaeTestCase` comment",1,CS-corpus.txt,151
"i can't answer that, i don't have a histogram of address structure class frequencies memorized yet. maybe someone who has seen more might be able to make a suggestion? @ckurz-va @jfingler-va  my feeling is that you've covered enough here to make this stronger than what it was, so even it's not perfect, it's still incrementally stronger and so that shouldn't stop it from going forward. documenting those unsupported cases here is valuable, if they become a problem, the next guy just needs to uncomment the problematic case and tdd without worrying about many externalities.",1,CS-corpus.txt,152
O_o they give us back underscores in one of the messages? seems like something they'll fix and we'll still be erroneously checking for in a month,0,CS-corpus.txt,153
i find it a little weird that deleting a review doesn't take care of deleting its child entities (comments) in a model hook.,0,CS-corpus.txt,154
?  needing this decorator at all seems smelly,0,CS-corpus.txt,155
"if this is just ```raise``` it should raise the last exception that was thrown. With the way you're doing it any traceback is lost. It's probably not a big deal in this case, but give it a try.  http://www.ianbicking.org/blog/2007/09/re-raising-exceptions.html",1,CS-corpus.txt,156
I think those 2 result in the same behaviour.,1,CS-corpus.txt,157
"The explanation here and whats in the query are a bit confusing -- we had Google+(10010) listings copied over to Google Maps(12120), and we don't want legacy ids on the Google Maps one? Shouldn't it be `src=12120` in the query?",0,CS-corpus.txt,158
"Did you want this to be the sandbox id or the prod id? Sandbox is 911, PROD is 915.",0,CS-corpus.txt,159
Nvm. Just had to scroll down.,0,CS-corpus.txt,160
Just a question: where do these magic numbers come from? And why UBERALL_PLAN_ID_AU1 is different from the one in settings.py: https://github.com/vendasta/CS/blob/ac99559bcc9b6c438fe630ab8bf678e72cda1840/src/settings.py#L700,0,CS-corpus.txt,161
They are provided by uberall over their api. https://uberall.com/api/productplans,0,CS-corpus.txt,162
Can't trust anything...,0,CS-corpus.txt,163
Could/should we possibly do some cleanup here to prevent us from calling them again with this location id?,0,CS-corpus.txt,164
``` with self.assertRaises(InstagramAPIError):   InstagramMentionSearchManager.get_mentions_for_location('object-id') ``` Reads much clearer IMO,1,CS-corpus.txt,165
rasieees,1,CS-corpus.txt,166
"should we note that this is the test cluster, but using ip so you can hit it locally?",1,CS-corpus.txt,167
Just curious about why one imports in a method like this.,0,CS-corpus.txt,168
It may be a good idea to set up _retryCount,0,CS-corpus.txt,169
"I love this pattern so much more, good call!",0,CS-corpus.txt,170
"not sure if it really matters, but these calculations could be done in the else instead, then it's not being done if the account group was deleted",1,CS-corpus.txt,171
`reshares` and `likes` could also default to `0`,1,CS-corpus.txt,172
"We're reusing the `post_stats` dict here, which might lead to confusion in the future.  Maybe something like... ``` dict_of_post_stats[post_id] = {    'likeCount': stored_post.likes,    'commentCount': stored_post.comment_count,    'shareCount': stored_post.reshares } ```",1,CS-corpus.txt,173
"this isn't really `unavailable`, it's more `forbidden`",1,CS-corpus.txt,174
"if you are using logging.exception, you don't need `exc_info=True`",0,CS-corpus.txt,175
"this if branch should be a  `['uberall', 'api_call', 'forbidden']` tick",1,CS-corpus.txt,176
You need to add an entry to `routes.py`. Can't believe no one mentioned this yet lol.,1,CS-corpus.txt,177
From https://cloud.google.com/appengine/docs/python/taskqueue/push/creating-tasks#naming_a_task ``` After a task is removed from a queue you can't insert a task with the same name into the queue until 10 days have passed. ``` can we adjust that?,1,CS-corpus.txt,178
Do you want to return `address_2` when `full_address` isn't present?,1,CS-corpus.txt,179
"I think it probably shouldn't be returned. But if you hear differently, `full_address` needs to be `strip`ed",1,CS-corpus.txt,180
"Minor, but I would move `published_time = None` to just before this `if` so it is more explicit what it will default to if an exception occurs.",0,CS-corpus.txt,181
does the publish date always have `:` now?,0,CS-corpus.txt,182
Is it possible for non-numbers to be pulled into the `phone_number_field`? In that case I think `json.loads` raises a `ValueError`.,1,CS-corpus.txt,183
"I you don't provide a default value to `getattr` I'm pretty sure it will throw an exception if the property does not exist. I believe this would cause this to retry indefinitely, no?",0,CS-corpus.txt,184
Is it possible to get the `uid` and `pid` from the row and use `Listing.getById` instead (which does a key.get())?,1,CS-corpus.txt,185
Any reason you don't just call `listing.save()`?,1,CS-corpus.txt,186
"This is fine but you can also do: ```python potentiallyMissingInfoKey = getattr(listing, 'potentiallyMissingInfoKey', None) ``` If you don't specify default arg (`None` in this case) it will raise an exception if the property is not found.",0,CS-corpus.txt,187
This could probably have a `verbose_name` to clarify its purpose.,0,CS-corpus.txt,188
This one in particular is likely to make our app be in a very bad state. Currently looks like we fail 31% of the gets on postId due to application limit being reached... So we might need to find a way to cleanup / optimize some calls.,0,CS-corpus.txt,189
"I was more thinking of just adding a `logging.debug(""Formatting location data for account group..."")` to the top of this method so that it would be obvious which account group any subsequent log messages are related to. I'm just concerned that in the error reporting we might see errors and not know which account group they belong to however I expect that would probably be present in the url/args.",0,CS-corpus.txt,190
Is `content` the `title` here then?,1,CS-corpus.txt,191
Do you know if using `in` over the page content is particularly expensive? Might be worth fetching the title content before calling `in` five times over it.,1,CS-corpus.txt,192
typo in `ignore`,0,CS-corpus.txt,193
"It's probably not necessary to make an entire account group for this test, I'd rather see data passed directly to `__format_hours`. You could probably make a new test class.",0,CS-corpus.txt,194
I would probably make this an `error` since ideally we don't want this happening at all and high visibility if it does.,1,CS-corpus.txt,195
"If it's just a PyCharm warning, don't worry about it. If it actually won't let you call it, talk to Brad and see if there's a really good reason it's named that way.",1,CS-corpus.txt,196
"This looks good. There are three or four tests in `FormatLocationDataTests` (line 185) that would benefit from the change. Sorry for being pushy, but it doesn't make sense to create an account just to test this type of data.",0,CS-corpus.txt,197
I would argue this addition doesn't belong in `_format_hours` because it's not formatting.  Can we do the validation earlier?,1,CS-corpus.txt,198
"``` re.compile(""tel:(.*)\'"").search(phone_tag).groups()[0] ```",1,CS-corpus.txt,199
Are `profile.common` and `account_group.common_name` lists?,1,CS-corpus.txt,200
"You should be able to just `getattr(account_group, 'common_name', [])`.",1,CS-corpus.txt,201
Probably not a value error here as that will just trigger another retry. I'm thinking for any non 200 we want to raise a PermanentTaskFailure with as much info as possible about the response (ie code and content),0,CS-corpus.txt,202
you could write these tests with VTestCase,0,CS-corpus.txt,203
"I'm also fairly sure you can't defer an instance method, so when you do defer a task it's going to need to be on a `classmethod` and you may need to pass the review comment along too (or maybe just the key so you can get the comment again, on the off chance that it somehow changed)",0,CS-corpus.txt,204
The code below is already calling some kind of `update_review` method in the domain which might be a good place for that,0,CS-corpus.txt,205
"We should put some more details into this tag... specifically I'm thinking the spid and the review urlsafe key, like `review_to_google_my_business_review/<spid>/<review-key>`. The tag is appended on to the URL for the deferred task which can help greatly with debugging if something is breaking.",0,CS-corpus.txt,206
It don't think review.commentText will give you what you want. The commentText is on the ReviewComment which it doesn't look like we are getting here.,1,CS-corpus.txt,207
We should check to see if there is already a ReviewComment on the review instead of always creating a new one. This could get messy if the user hits the respond button multiple times.,1,CS-corpus.txt,208
"``` entity ``` also ``` db ``` is kind of a confusing acronym in appengine land, could mean several things. could write ``` test_matching_review_is_saved ```",1,CS-corpus.txt,209
"This will break on non ascii characters.. ```python hashlib.md5('{}'.format(u""åß∂"")).hexdigest() UnicodeEncodeError: 'ascii' codec can't encode characters in position 0-2: ordinal not in range(128) ```",0,CS-corpus.txt,210
Stackdriver might be a good idea.  Personally I've given up on using the cloud console's log viewer in CS long ago. Just wait 15 minutes and search BigQuery. :),0,CS-corpus.txt,211
You are deferring a task to run this pipeline. The `pipeline.start()` will create another task to actually call this run method. You can just return from this run method and let the pipeline complete instead of raising an exception. Are you counting on this pipeline to complete before you do something else?,1,CS-corpus.txt,212
"``` avoid circular : ( ``` ?  pretty sure if you import something inline, its obvious what you're trying to avoid, even if your comment is garbled",0,CS-corpus.txt,213
"I still don't like setting the default in the function header to anything other than `True`/`False`, or `None`",0,CS-corpus.txt,214
This entire function still doesn't do anything when you compare it to `_get_location_review_request_for_location_name`,1,CS-corpus.txt,215
"there is an alternative... `page_size=None` in the signature, `page_size = page_size or cls.MAX_LOCATION_PAGE_SIZE` in the body",0,CS-corpus.txt,216
you're not taking advantage of your self.locationModel cache here... what i'd prefer to see is the addition of `@cached_property` properties for `self.locationModel` and maybe `self.profile`... i.e. ``` @cached_property def locationModel(self):     return GoogleMyBusinessAccount.lookup_google_my_business_location_model(social_profile_id) ``` it's a webapp2 decorator but under the hood it's effectively this: ``` @property def locationModel(self):     if not self._locationModel:         self._locationModel = GoogleMyBusinessAccount.lookup_google_my_business_location_model(social_profile_id)     return self._locationModel ```,1,CS-corpus.txt,217
"Would the same instantiation of a `GooglePlus` serve more than one request? If not, it doesn't matter. But I'm not sure exactly how that works.",1,CS-corpus.txt,218
UberallFailedToSearchForLocationException?,1,CS-corpus.txt,219
"I don't think raising `NotImplementedError(""This should never be implemented by BrownbookListingSearchCommand or subclasses"")` is that unreasonable? But we should at least instantiate it here. This line is raising the class, not an exception.",1,CS-corpus.txt,220
"Looks like the `ListingSearchCommand` superclass already raises `NotImplementedError`, too.",0,CS-corpus.txt,221
"Why `getattr(matchDetail, 'company')` here instead of just matchDetail.company? When you don't provide a third arg as the default value, this function will raise an error if the attr doesn't exist on the object and the same is true if you just reference the field directly like I am suggesting.",0,CS-corpus.txt,222
Same thing here; I don't think there is any need for using `getattr` here either.,0,CS-corpus.txt,223
"I don't like these new tests. Instead of ensuring that the correct elasticsearch search was constructed, they assert that the correct query JSON is build by the elastic lib, which is knowledge CS shouldn't need to know. It should just assume that if you build a correct `Search` object, the elastic lib will get the right data from the ES API.  I don't like the old tests' implementation either (using actual requests/responses) but I think the old test cases (based on their names) are valid. For instance: - `test_sourceTakesOneInput` - `test_includePoorListingsFlagHasResults` - `test_noLimitOnASourceSpecificQuery` - `test_resultsAreSortedByScore`  All of those names sound like meaningful test cases but now they are all deleted so it is hard for us to know if we regressed on existing behaviour with these changes or even in the future.  I would suggest modifying these tests to not run `get_query()` and do the assertions on the Search object. And I would also move them to a `LookupListingsGetListingsSearchTests` class which can be a pure unittest. Then, you could keep some (not all) of the old tests, still using GAE and requests/responses but just mock out the call to `get_listings_search` or even `get_query`; if this GAE test doesn't use datastore stub, it will still be pretty fast. This approach gives you coverage to know your ES query is constructed properly but also that your API endpoint is operating as expected.",0,CS-corpus.txt,224
You don't actually have to check pageType evaluates to True here since None will not be inside the list of strings,1,CS-corpus.txt,225
I think something like `TransientListingScrapeException` or something to that effect might be clearer as to what the exception means,1,CS-corpus.txt,226
`s/temporary/temporarily/` in the message there :),1,CS-corpus.txt,227
If you make this exception a subclass of `CSExceptionInvalid` you also won't need to change any of the lockdown code to make sure they don't result in a lockdown when they occur,1,CS-corpus.txt,228
"Yeah, I confirmed it in an interpreter... you don't want/need the square brackets... just `if any(indicator in content for indicator in temporary_invalid_listing_tag):`",1,CS-corpus.txt,229
I don't think guaranteeing this is worth the time it will take to fetch all the comments and convert to domain objects. I suggest just calling `ndb.delete_multi(review_comment_keys)` after the `review.delete()` call,1,CS-corpus.txt,230
"@achuo-va Just looking into a BlackOps issue that we've traced back to these changes. We're seeing a bunch of ""transaction too big"" errors when this code runs for listings with quite a few reviews (100ish or more). The reason is that this `lookupByReviewQuery` is happening inside of a loop over all of the reviews, meaning that we're doing potentially hundreds of synchronous queries here. Only posting this comment as an FYI - you basically never want to do synchronous RPCs inside of a loop.  Additionally, there's no reason to call delete_async() on all of the keys and then resolve the futures at the end - ndb gives us a `delete_multi` method that we can just pass a list of keys to and delete them all in a single call.",0,CS-corpus.txt,231
Constructing a BeautifulSoup object is pretty expensive. Could you set the `soup` as an instance variable so you can use it in `_scrape`  (or fall back to constructing a new BeautifulSoup object)?  Like in `_scrape` have ``` soup = self._soup or BeautifulSoup(content) ```,1,CS-corpus.txt,232
"According to @ckurz-va, this function should be as loose as possible with it's interpretation of whether the content MIGHT be a listing or not, so that the scraper will try on anything that might be a listing or might not be. That's why the sentence previously read ""easily identifiable as a non-listing page"" instead of saying ""this is a listing page"". It was a subtle hint... maybe the docstring should be more explicit about that... although that does seem like a lot of documentation duplication everywhere that we implement isListingPage.",0,CS-corpus.txt,233
"probably shouldn't be mixing strings and unicode strings here too. It is a url so it shouldn't be a problem, but it's still best to just use unicode in this situation. I would also take it a step further and make the line look like this ```python url = u'{}/info'.format(url.rstrip(u'/')) ``` or  ```python url = u'{}{}/info'.format(match.group(1), match.group(2).rstrip(u'/')) ```",0,CS-corpus.txt,234
very very minor: could use `collections.defaultdict`.,1,CS-corpus.txt,235
"This shouldn't be encoded into utf-8 here because it's not leaving the system yet and not being used with a library that doesn't work with unicode, if there's errors because it's not encoded then the fix is probably going to need to be made in the test that is having errors, or around the specific library that is using the text. Also, since phone number isn't required, you might want to make sure index errors aren't going to kill the whole scraper by making sure the keys exist, or wrapping ```result[KEY.PHONE] = phone_result[0].contents[0]``` in a try/except IndexError that passes if there's an index error.",1,CS-corpus.txt,236
